209,1404926.701,2199781.760,1080.553,BK3
210,1404931.801,2199768.867,1080.297,BK3
211,1404932.560,2199768.524,1080.436,BK3
212,1404937.625,2199765.559,1080.860,BK3
213,1404941.024,2199758.472,1080.978,BK3
214,1404941.094,2199757.488,1080.874,GV
215,1404941.107,2199757.476,1080.873,G1
216,1404952.574,2199768.240,1081.180,G1
217,1404961.756,2199780.554,1081.515,G1
218,1404970.544,2199792.384,1081.874,G1-]
219,1404960.673,2199784.988,1082.016,GY
220,1404956.881,2199792.519,1082.574,E1 E2
221,1404967.095,2199789.470,1081.811,E2
222,1404967.845,2199791.002,1081.900,E1
223,1404972.510,2199798.337,1082.409,E1
224,1404971.290,2199803.351,1083.226,GY
225,1404979.717,2199811.246,1082.014,E1
226,1404986.942,2199825.459,1081.753,E1
227,1404990.908,2199839.131,1081.472,E1
228,1404994.899,2199853.651,1080.612,E1
229,1404997.358,2199869.711,1079.899,E1
230,1404998.434,2199877.046,1079.596,E-OUTLET
231,1404999.159,2199888.102,1079.380,E1
232,1405000.622,2199898.770,1079.382,E1
233,1405007.163,2199906.352,1079.569,E1
234,1405019.340,2199911.725,1079.679,E1
235,1405021.337,2199917.393,1079.743,E1
236,1405021.411,2199922.944,1079.777,E3
237,1405021.305,2199917.583,1079.774,E3
238,1405020.743,2199912.059,1079.700,E3
239,1405021.596,2199903.683,1079.693,E3
240,1405023.452,2199887.517,1079.576,E3
241,1405024.475,2199871.104,1079.675,E3
242,1405025.830,2199855.351,1079.786,E3
243,1405028.755,2199833.276,1080.642,PM
244,1405027.233,2199833.970,1080.628,GM
245,1405027.593,2199835.027,1080.608,OHU1
246,1405010.711,2199832.502,1080.995,BAD
247,1405010.635,2199827.270,1081.169,G2-DOTTED?
248,1405010.691,2199832.408,1081.000,G2-DOTTED?
249,1404997.723,2199834.144,1081.028,G2-DOTTED?
250,1404956.846,2199792.322,1082.673,UP
251,1404946.771,2199790.893,1082.434,G2-?
252,1404935.100,2199787.856,1081.550,G2-?
253,1404925.863,2199787.331,1080.722,G2-?
254,1404920.364,2199798.477,1080.695,G2-?
255,1404903.774,2199832.991,1080.867,G2
256,1404895.022,2199847.489,1081.182,G2
257,1404889.400,2199858.977,1081.689,G2
258,1404882.430,2199870.255,1082.097,TW1
259,1404882.350,2199869.343,1081.893,BW1 PC-BLOCK
260,1404877.505,2199871.916,1081.871,BW1
261,1404876.377,2199874.960,1081.862,BW1
262,1404878.176,2199878.252,1081.723,BW1
263,1404881.486,2199879.708,1081.480,BW1
264,1404886.744,2199879.195,1081.314,BW1
265,1404890.160,2199878.691,1081.300,BW1
266,1404894.142,2199874.089,1081.304,BW1
267,1404889.176,2199869.260,1081.700,BW1 CLO
268,1404890.036,2199873.048,1081.637,SN1
269,1404880.134,2199873.804,1081.934,SN1
270,1404880.422,2199875.317,1081.748,SN1
271,1404880.231,2199875.248,1094.402,SN-TOP
272,1404876.997,2199885.394,1081.266,WM
273,1404875.146,2199885.646,1081.224,WM
274,1404808.593,2200146.881,1088.588,CK-1
275,1404889.377,2199915.751,1079.846,GS
276,1404915.865,2199914.741,1079.843,GS
277,1404906.584,2199943.771,1079.312,GS
278,1404940.416,2199941.898,1078.450,BK2
279,1404957.502,2199936.446,1078.712,BK2
280,1404948.284,2199988.903,1077.173,GS
281,1404949.432,2199967.952,1079.066,GS
282,1404948.508,2199955.259,1084.909,BAD
283,1404949.793,2199954.846,1085.115,BAD
284,1404948.494,2199955.258,1079.468,BC1
285,1404949.792,2199954.850,1079.725,BC1 SW2
286,1404956.952,2199956.435,1079.818,BC1
287,1404955.861,2199952.970,1079.728,BC1
288,1404948.236,2199949.215,1079.586,SW2
289,1404976.288,2199940.270,1079.557,SW2 PC
290,1404981.418,2199944.919,1079.630,BL2
291,1405000.169,2199931.041,1079.899,BL2-NE
292,1405007.634,2199916.751,1079.649,BC1
293,1405036.025,2199927.333,1079.737,BL1
294,1405067.701,2199866.625,1079.652,BL1
295,1405061.195,2199862.701,1079.657,BL1
296,1405025.260,2199843.959,1081.107,BC1
297,1405028.133,2199838.519,1080.616,BL1
298,1405018.023,2199845.902,1080.218,EC1 PC-DIR
299,1405013.594,2199836.353,1080.871,EC1
300,1405015.643,2199825.469,1081.076,EC1 PT
301,1405027.213,2199830.196,1080.931,BL1
302,1405036.847,2199811.745,1080.375,BL1
303,1405038.251,2199809.042,1079.944,BC1
304,1405043.475,2199809.081,1079.890,BL1
305,1405047.869,2199800.673,1079.706,BC1 SW3
306,1405039.801,2199809.011,1079.883,SW4-DIR
307,1405039.916,2199808.670,1079.827,EC2
308,1405038.236,2199807.807,1079.879,EC2
309,1405042.217,2199799.560,1079.658,EC2
310,1405044.127,2199800.456,1079.596,EC2 CLO
311,1405051.203,2199786.378,1078.775,SW4 PC
312,1405053.368,2199789.944,1078.942,SW3-DIR
313,1405042.353,2199783.483,1079.186,SW3
314,1405034.221,2199790.069,1079.746,SW3 PT
315,1405023.990,2199809.476,1080.567,SW3 EC1
316,1405015.018,2199811.968,1080.812,EC2 PC
317,1405008.251,2199789.413,1080.283,EC2
318,1404988.483,2199794.947,1081.528,EC2
319,1404995.192,2199817.248,1081.652,EC2
320,1405014.779,2199812.212,1080.792,EC2 PT CLO
321,1405003.859,2199806.522,1081.545,GS-LANDSCAPED
322,1404979.226,2199781.635,1081.113,CS
323,1404952.101,2199751.213,1080.994,EC3
324,1404947.930,2199759.475,1081.141,EC3 PC
325,1404965.284,2199780.862,1081.354,EC3
326,1404980.204,2199806.232,1081.915,EC3
327,1404993.226,2199834.111,1081.072,EC3
328,1405001.865,2199867.565,1079.836,EC3
329,1405003.243,2199885.358,1079.334,EC3
330,1405001.362,2199905.145,1079.419,EC3
331,1404997.176,2199916.722,1079.387,EC3 EC1
332,1405028.312,2199926.176,1079.800,EC4-DIR
333,1405045.199,2199893.954,1079.768,EC4
334,1405057.870,2199869.970,1079.727,EC4
335,1405062.776,2199869.272,1079.466,CO
336,1405050.503,2199866.263,1079.793,EC4
337,1405054.007,2199859.210,1079.826,EC4
338,1405048.288,2199856.155,1079.908,EC4
339,1405048.909,2199861.938,1079.811,CO
340,1405045.894,2199861.473,1079.807,EC4
341,1405051.101,2199857.574,1079.932,FF
342,1405030.016,2199853.457,1079.829,EC4-DIR
343,1404983.604,2199919.312,1079.446,EC5-PERGOLA
344,1404992.010,2199926.964,1079.359,EC5
345,1404982.839,2199937.048,1079.506,EC5
346,1404937.689,2199923.838,1079.589,GS
347,1404905.069,2199916.842,1080.055,GS
348,1404908.807,2199892.416,1080.581,GS
349,1404943.393,2199896.908,1080.094,GS
350,1404971.353,2199910.899,1079.179,GS
351,1404985.135,2199879.006,1079.776,GS
352,1404940.725,2199870.653,1080.793,GS
353,1404929.583,2199831.021,1081.588,GS
354,1404936.627,2199803.049,1081.523,GS
355,1404952.383,2199777.606,1081.948,BK4 BK5
356,1404952.182,2199797.311,1083.350,BK5
357,1404956.531,2199796.244,1083.304,BK6
358,1404944.183,2199804.331,1081.998,BK4
359,1404959.173,2199824.249,1081.920,BK4
360,1404967.536,2199820.557,1083.376,BK5
361,1404973.274,2199817.786,1083.335,BK6
362,1404985.243,2199829.506,1082.147,BK6
363,1404988.828,2199839.892,1081.492,BK6 BK5 BK4
364,1404974.170,2199862.471,1080.523,GS
365,1404852.865,2199766.014,1079.688,OHU1 UP LP OHU2 OHU3
366,1404864.565,2199755.683,1080.708,GY
367,1404850.438,2199755.671,1077.984,GY
368,1404853.410,2199770.101,1079.166,BK7 BK8
369,1404854.945,2199749.499,1080.160,BK7 TL2
370,1404872.593,2199756.182,1079.973,TL2
371,1404861.720,2199771.023,1079.458,BK8
372,1404877.705,2199758.750,1079.321,BK8
373,1404875.944,2199740.592,1080.682,TL2
374,1404855.196,2199737.065,1080.349,TL2
375,1404855.232,2199737.058,1080.373,BK7
376,1404856.715,2199692.741,1078.721,BK7
377,1404856.257,2199656.069,1075.852,BK7
378,1404855.438,2199621.173,1073.494,BK7
379,1404860.362,2199620.152,1073.876,BK7
380,1404864.922,2199607.961,1073.642,BK9
381,1404859.841,2199603.238,1073.166,BK9
382,1404859.208,2199594.003,1072.113,BK9
383,1404878.979,2199635.534,1074.890,EC6 BW2
384,1404878.836,2199636.290,1075.665,TW2-BLOCK
385,1404903.656,2199640.734,1076.777,TW2
386,1404903.081,2199639.786,1075.175,BW2
387,1404906.158,2199628.016,1076.316,TW2-DIR
388,1404905.226,2199628.058,1075.055,BW2
389,1404881.395,2199622.134,1074.588,EC6
390,1404891.885,2199623.650,1074.851,BL2
391,1404881.426,2199621.998,1074.624,BC2
392,1404886.012,2199592.178,1072.624,PORCH1
393,1404882.299,2199591.473,1072.836,PORCH1
394,1404881.373,2199597.656,1074.108,PORCH1
395,1404885.450,2199595.932,1075.349,FF
396,1404881.494,2199597.708,1074.382,EC7
397,1404878.602,2199610.529,1074.555,EC7
398,1404881.220,2199622.296,1074.603,EC6
399,1404870.501,2199619.234,1074.479,EC6
400,1404871.692,2199610.445,1074.352,EC7
401,1404853.303,2199606.378,1071.500,EC7
402,1404851.717,2199618.149,1071.930,EC6
403,1404877.003,2199624.673,1074.459,SD1-4TRENCH
404,1404904.909,2199629.236,1075.037,SD1
405,1404894.549,2199624.445,1074.859,FF
406,1404869.435,2199635.946,1075.305,GS
407,1404874.329,2199655.240,1076.879,GS
408,1404877.452,2199678.333,1077.829,GS
409,1404883.377,2199708.336,1079.729,GS
410,1404845.612,2199788.643,1076.043,SW5
411,1404849.805,2199783.094,1076.262,SW5 PC
412,1404844.437,2199775.747,1075.930,SW5
413,1404842.784,2199766.518,1075.567,SW5
414,1404842.029,2199762.832,1075.506,EC8
415,1404842.254,2199766.313,1075.543,EC8
416,1404836.806,2199774.465,1075.733,EC8
417,1404839.073,2199771.288,1075.721,BAD
418,1404838.625,2199779.543,1075.804,SW6
419,1404839.275,2199762.833,1075.429,SW6 PC
420,1404842.490,2199759.811,1075.461,W2
421,1404842.667,2199734.301,1075.008,W2
422,1404839.689,2199734.190,1074.863,SW6
423,1404843.262,2199734.150,1075.045,SW5
424,1404835.906,2199734.247,1074.250,GL1
425,1404838.172,2199685.268,1072.998,GL1
426,1404841.878,2199685.538,1073.726,SW6
427,1404845.568,2199685.848,1073.884,SW5
428,1404844.833,2199685.636,1073.856,W2
429,1404841.391,2199674.505,1073.454,CBR-E8
430,1404808.601,2200146.880,1088.587,CK-1
431,1404858.477,2199619.756,1073.361,PVC-4
432,1404848.548,2199639.007,1072.560,W2
433,1404808.570,2200146.884,1088.586,CK-1RL
434,1404849.645,2199639.609,1072.628,SW5
435,1404845.939,2199639.169,1072.423,SW6
436,1404842.033,2199639.131,1071.836,GL1
437,1404843.911,2199621.235,1071.324,GL1-N
438,1404847.720,2199621.789,1071.891,SW6 PT
439,1404843.908,2199625.008,1071.890,SW6
440,1404851.642,2199618.275,1072.023,SW5
441,1404853.152,2199606.246,1071.578,SW5
442,1404847.200,2199598.424,1071.208,SW6
443,1404850.034,2199602.081,1071.348,SW6 PC
444,1404846.477,2199600.772,1070.787,GL1-N
445,1404849.571,2199597.625,1071.375,35-MB
446,1404849.578,2199578.475,1070.257,GL1
447,1404855.412,2199581.551,1071.005,W2
448,1404861.996,2199582.629,1071.232,WM
449,1404886.377,2199589.935,1072.366,W4
450,1404856.744,2199579.116,1070.974,SW5
451,1404853.222,2199578.482,1070.849,SW6
452,1404862.223,2199540.789,1070.059,W2
453,1404860.632,2199534.556,1069.813,SW6
454,1404864.153,2199535.122,1070.021,SW5
455,1404859.113,2199535.997,1069.971,CBR-E7
456,1404859.292,2199520.746,1069.053,GL1-N
457,1404862.966,2199520.240,1069.426,SW6 PT
458,1404859.248,2199523.827,1069.528,SW6
459,1404867.415,2199517.007,1069.382,SW5
460,1404865.550,2199530.078,1069.937,OHU2 UP
461,1404856.596,2199519.683,1069.258,PN2
462,1404845.711,2199518.455,1069.797,PN3
